년도,온도
2021,11.1211
2022,11.3396
2023,12.8788
2024,12.2378
2025,12.0079
2026,11.4966
2027,11.7128
2028,11.8587
2029,12.4889
2030,11.0681
2031,13.7484
2032,12.3579
2033,11.0874
2034,11.0141
2035,13.0147
2036,12.5881
2037,13.1637
2038,11.9934
2039,12.5522
2040,12.8748
2041,13.4982
2042,12.3932
2043,12.2606
2044,11.6208
2045,12.1637
2046,11.7461
2047,12.8701
2048,12.3324
2049,12.8773
2050,13.1825
2051,12.1535
2052,12.4138
2053,12.6445
2054,13.2284
2055,13.6714
2056,13.6528
2057,13.0285
2058,13.0791
2059,13.5878
2060,13.7575
2061,14.4446
2062,13.5127
2063,12.6863
2064,13.4066
2065,13.3253
2066,13.0191
2067,13.2032
2068,13.7156
2069,13.5783
2070,13.4692
2071,13.3266
2072,13.2573
2073,12.9654
2074,13.9084
2075,12.8698
2076,13.8626
2077,12.3555
2078,13.8616
2079,12.808
2080,13.5827
2081,14.2011
2082,13.4578
2083,13.5195
2084,12.7355
2085,13.528
2086,13.9033
2087,13.1935
2088,13.3686
2089,13.1157
2090,13.5928
2091,13.7324
2092,13.2129
2093,14.1357
2094,13.8263
2095,13.8437
2096,13.895
2097,14.1141
2098,13.9397
2099,13.9922
2100,13.7307
